Id,TagName,TagToConvertTo
184,"None","(TagName="""")"
185,"None","(TagName="""")"
186,"None","(TagName="""")"
187,"None","(TagName="""")"
188,"None","(TagName="""")"
189,"None","(TagName="""")"
190,"tunnel","(TagName=""environment.structure.tunnel"")"
191,"bridge","(TagName=""environment.structure.bridge"")"
192,"None","(TagName="""")"
193,"None","(TagName="""")"
194,"None","(TagName="""")"
195,"None","(TagName="""")"
196,"None","(TagName="""")"
197,"None","(TagName="""")"
198,"None","(TagName="""")"
199,"None","(TagName="""")"
200,"building","(TagName=""environment.structure.building"")"
201,"None","(TagName="""")"
202,"busshelter","(TagName=""environment.structure.bus_shelter"")"
203,"kiosk","(TagName="""")"
204,"statue","(TagName="""")"
205,"None","(TagName="""")"
206,"None","(TagName="""")"
207,"None","(TagName="""")"
208,"None","(TagName="""")"
209,"table","(TagName="""")"
210,"bench","(TagName=""object.obstacle.bench"")"
211,"None","(TagName="""")"
212,"mailbox","(TagName=""object.obstacle.mailbox"")"
213,"None","(TagName="""")"
214,"trafficsignalbox","(TagName="""")"
215,"None","(TagName="""")"
216,"utilitybox","(TagName=""object.obstacle.utility_box"")"
217,"None","(TagName="""")"
218,"None","(TagName="""")"
219,"None","(TagName="""")"
220,"lamppost","(TagName=""object.obstacle.lamp_post"")"
221,"flagbanner","(TagName=""object.obstacle.flag_banner"")"
222,"None","(TagName="""")"
223,"None","(TagName="""")"
224,"gantry","(TagName=""environment.support.gantry"")"
225,"pole","(TagName=""environment.support.pole"")"
226,"bikerack","(TagName=""object.obstacle.bike_rack"")"
227,"parkingmeter","(TagName=""object.obstacle.parking_meter"")"
228,"newspaperdispenser","(TagName=""object.obstacle.newspaper_stand"")"
229,"None","(TagName="""")"
230,"fence","(TagName=""object.obstacle.fence"")"
231,"None","(TagName="""")"
232,"None","(TagName="""")"
233,"None","(TagName="""")"
234,"None","(TagName="""")"
235,"trashcan","(TagName=""object.obstacle.trashcan"")"
236,"None","(TagName="""")"
237,"None","(TagName="""")"
238,"None","(TagName="""")"
239,"None","(TagName="""")"
240,"manholecover","(TagName=""object.road.manhole"")"
241,"catchbasin","(TagName=""object.road.catch_basin"")"
242,"firehydrant","(TagName=""object.obstacle.fire_hydrant"")"
243,"None","(TagName="""")"
244,"None","(TagName="""")"
245,"bollard","(TagName=""object.obstacle.barrier"")"
246,"reflectors","(TagName=""sign.traffic.reflector"")"
247,"None","(TagName="""")"
248,"None","(TagName="""")"
249,"None","(TagName="""")"
250,"unknown_terrain","(TagName="""")"
251,"unknown_driveable_ground","(TagName="""")"
252,"unknown_nondriveable_ground","(TagName="""")"
253,"unknown_marking","(TagName="""")"
254,"unknown_prop","(TagName="""")"
255,"None","(TagName="""")"
